"taxon","log_ratio_effect","se_mean","p_value","p_adj_BH"
"Robbsia andropogonis",-4.48567421119153,2.8502168104339,0.23981651964931,0.99979202985237
"Jeotgalibacillus malaysiensis",-4.22889750932717,2.80975040830646,0.252289117479014,0.999802821388247
"Cohnella abietis",-4.48983384481554,2.88348003425157,0.237233844592562,0.999814133812355
"Pseudomonas graminis",-4.42266898925572,2.81974950899004,0.243010626750387,0.999828376388694
"Arthrobacter citreus",-4.59865091311723,2.99680939273503,0.246903247484715,0.999849238968876
"Paenibacillus crassostreae",-4.20033583949357,2.84684913556083,0.264912136661025,0.999856180304562
"Enterobacter huaxiensis",-4.19344099192657,2.71975504936209,0.243614916966404,0.999863658511591
"Variovorax sp. RKNM96",-4.63064281269339,2.83498516785454,0.229196546952231,0.999868007411789
"Kosakonia sp. CCTCC M2018092",-4.59460202573102,2.74967763731205,0.218490584199949,0.999869666417087
"Aliamphritea hakodatensis",-4.13889110026737,2.74654398033947,0.262756171945668,0.999877110660927
"Citrobacter portucalensis",-5.40143486010717,2.99374173256806,0.189935501435875,0.999877468953903
"Bacillus sp. FJAT-42376",-4.46231667367972,2.71134057494149,0.22628801920164,0.999921865443284
"Mesobacillus jeotgali",-3.07161866218207,2.86421275210733,0.357600398085216,0.999925352434345
"Aerococcus urinae",-5.19055310048832,2.95665191993103,0.202095970282287,0.999935493170231
"Ureibacillus thermophilus",-4.98973943808647,3.00073266632376,0.214769354328006,0.999951198536347
"Mixta calida",-4.84327833985632,2.88344864661024,0.215181773914039,0.999959583216462
"Thermococcus barophilus",-5.33573650443803,3.04291817203661,0.196947107049404,0.999960048244896
"Sporosarcina ureae",-4.88302892098812,2.89892492346233,0.212361409358158,0.999961119327367
"Halopseudomonas sp. SMJS2",2.90125168196283,1.68194708316538,0.156101106149516,0.999966240346746
"Weeksella virosa",-5.2811669249844,3.13841666608097,0.212587209143196,0.999970656752465
"Aggregatibacter segnis",-4.55079422518546,2.84918867107194,0.236660755039304,0.999970656752465
"Paenalcaligenes faecalis",-4.22543987142704,2.71472496594359,0.250084153547385,0.999970656752465
"Ruminococcus bovis",2.36912932578912,0.67657434338741,0.0344140082280895,0.999970962853531
"Shewanella amazonensis",10.4927741626054,3.2312683020522,0.0385791325889813,0.999970962853531
"Curtobacterium sp. TXMA1",9.92227448505035,3.04822174062853,0.0398648063509566,0.999970962853531
"Corynebacterium aquatimens",9.68395033611051,2.9621639871803,0.0399996841496418,0.999970962853531
"Ruminococcus bicirculans (ex Wegman et al. 2014)",5.75217806635088,1.9726377343761,0.0451875489751926,0.999970962853531
"Afipia sp. GAS231",9.80450509670182,3.27325903757143,0.0482105386012608,0.999970962853531
"Solwaraspora sp. WMMD937",8.23654914446213,2.8328952074324,0.05655022515889,0.999970962853531
"Saccharothrix espanaensis",4.28022744585401,1.61222692284389,0.0577038972989451,0.999970962853531
"Microbulbifer hydrolyticus",9.60399460514803,3.44666384532014,0.0578618418809225,0.999970962853531
"Agromyces larvae",8.01800395027629,2.78638734229504,0.0586664237285041,0.999970962853531
"Burzaovirus coli",8.24238051555062,2.9440088747452,0.0612942145985872,0.999970962853531
"Pseudomonas sp. AN-1",4.94081302838018,1.96134668488114,0.0659711086454919,0.999970962853531
"Hymenobacter yonginensis",8.0080501000883,3.21615999827884,0.068790585952824,0.999970962853531
"Nocardioides sp. BP30",4.15446265858658,1.69103256978727,0.0710528098845836,0.999970962853531
"Novosphingobium ginsenosidimutans",7.78349717549961,2.96203020966919,0.0712576679891076,0.999970962853531
"Alistipes sp. dk3624",4.31283904928865,1.74347185637652,0.0727655880433367,0.999970962853531
"Haematobacter massiliensis",7.73808383274784,2.91169715476252,0.0729107728114231,0.999970962853531
"Sphingomonas sp. LM7",8.36773228060589,3.30381883066518,0.0761129151699923,0.999970962853531
"Streptomyces flavofungini",8.49295928729664,3.37291027483361,0.0763115979008597,0.999970962853531
"Pantoea cypripedii",3.95335032078498,1.66989848605785,0.0772053650582439,0.999970962853531
"Anaerococcus mediterraneensis",6.81512498812371,2.84364216067162,0.0778050029768951,0.999970962853531
"Jannaschia sp. GRR-S6-38",7.19455062247523,2.99939941168965,0.0781327120599547,0.999970962853531
"Porphyrobacter sp. YT40",6.0557754232999,2.53062341947501,0.0782607419861636,0.999970962853531
"Xanthomonas dyei",7.48308618799462,2.91489155153989,0.0789862251513958,0.999970962853531
"Nocardioides sp. QY071",6.23999982984947,2.61164469028,0.0791249180035195,0.999970962853531
"Devosia ginsengisoli",3.99244099328107,1.71609213654319,0.0817739991569077,0.999970962853531
"Microlunatus sagamiharensis",4.9672286250689,2.16043704800586,0.0835828438971419,0.999970962853531
"Paraburkholderia caffeinilytica",6.37230766674893,2.7329473170578,0.0837082423361782,0.999970962853531
"Stappia sp. ES.058",5.48709407825268,2.32211695556838,0.0844865626469469,0.999970962853531
"Spirochaeta thermophila",3.834022342137,1.71132104069454,0.0845619689492667,0.999970962853531
"Pseudonocardia broussonetiae",5.40343484460514,2.29751057804575,0.084804597671485,0.999970962853531
"Halodesulfurarchaeum formicicum",5.80582321921832,2.47750424840056,0.084950298099421,0.999970962853531
"Pseudomonas sp. TCU-HL1",5.68674496540189,2.41990707992817,0.085075346505343,0.999970962853531
"Amycolatopsis sp. FBCC-B4732",6.2081738921755,2.72653492480882,0.0873200836446667,0.999970962853531
"Methanothrix thermoacetophila",7.23313999892102,2.98687259002271,0.0882822269549559,0.999970962853531
"Mesorhizobium sp. DCY119",4.64235240052709,2.08044209849831,0.0885486645591552,0.999970962853531
"Streptomyces sp. VNUA116",7.22468022978651,2.9897483966783,0.0886348833199286,0.999970962853531
"Streptomyces bathyalis",6.18126397644003,2.69433664324044,0.0891469395843896,0.999970962853531
"Delftia acidovorans",6.94489117675179,3.09020084935921,0.0891842123924796,0.999970962853531
"Rhodococcus sp. X156",6.9291072419353,2.89403869758596,0.092748329839088,0.999970962853531
"Amycolatopsis sp. HUAS 11-8",4.40083824483562,2.05377869292144,0.0962340180345385,0.999970962853531
"Streptomyces paludis",4.96609331724037,2.34746618640853,0.0986441551335342,0.999970962853531
"Herbaspirillum rubrisubalbicans",5.56541933048602,2.59075986909851,0.100638423829346,0.999970962853531
"Ralstonia pseudosolanacearum",6.72133248936974,3.17785451130607,0.101387247118369,0.999970962853531
"Couchioplanes caeruleus",4.80897637085146,2.30519575908559,0.102001058844914,0.999970962853531
"Cellulomonas flavigena",6.43759748079386,3.05382399155353,0.105154974649612,0.999970962853531
"Ferriphaselus amnicola",5.55009599910138,2.60894290974637,0.106229663350861,0.999970962853531
"Aureimonas sp. SA4125",5.43415772217985,2.5646285122424,0.106270132248746,0.999970962853531
"Thioalkalivibrio sulfidiphilus",5.42855145159377,2.58470409453664,0.106897683870886,0.999970962853531
"Pseudoxanthomonas suwonensis",3.82388001049447,1.83761495179497,0.107712017589994,0.999970962853531
"Gulosibacter sediminis",3.75473366945697,1.80666300336692,0.108483883974575,0.999970962853531
"Actinoalloteichus hymeniacidonis",6.42729390543954,3.09781078651102,0.108848113949393,0.999970962853531
"Leptothrix cholodnii",3.17759349046274,1.58316186265834,0.11078815802272,0.999970962853531
"Microbulbifer sp. A4B17",4.00119552220178,2.01245010169919,0.111486332179483,0.999970962853531
"Alicyclobacillus sp. ALC3",3.74972606784013,1.88434851528375,0.112269329450806,0.999970962853531
"Lysobacter sp. KIS68-7",3.85351752048515,1.89426762783682,0.114110808013086,0.999970962853531
"Campylobacter insulaenigrae",5.06223584184974,2.46200482645933,0.114952615565786,0.999970962853531
"Streptacidiphilus sp. PB12-B1b",5.81111180424035,2.87875409277181,0.117335349990635,0.999970962853531
"Streptomyces sp. So13.3",5.012183826256,2.45260067132948,0.118663935121207,0.999970962853531
"Bosea sp. Tri-49",6.77247896482696,3.42402253824805,0.11908077317638,0.999970962853531
"Alicycliphilus denitrificans",5.78194465457275,2.92276125311635,0.119401576268862,0.999970962853531
"Tessaracoccus flavus",5.19856260831183,2.60153249240966,0.12004707065974,0.999970962853531
"Acidovorax sp. 1608163",3.55663309331549,1.85518392367557,0.120572504459206,0.999970962853531
"Streptomyces xinghaiensis",4.80126878613652,2.39241102720381,0.120579103151996,0.999970962853531
"Herbiconiux sp. L3-i23",5.59593684310703,2.80631496625918,0.12080282781966,0.999970962853531
"Elioraea tepida",4.28131525868697,2.2335134682834,0.121020963442793,0.999970962853531
"Pseudomonas cavernae",3.12496241034265,1.59325883226015,0.121955493678628,0.999970962853531
"Pseudonocardia autotrophica",5.91423344839871,2.95310693439651,0.122160902907604,0.999970962853531
"Geomonas sp. RF6",3.9473004265486,2.04312175042328,0.123299755372447,0.999970962853531
"Synechococcus sp. JA-3-3Ab",5.77708164237461,2.96802925949474,0.123628903734112,0.999970962853531
"Trichococcus flocculiformis",4.19172289465417,2.2215954382124,0.123736912955864,0.999970962853531
"Kiritimatiella glycovorans",4.11255721898722,2.19060778350169,0.124581262300869,0.999970962853531
"Halomonas sp. THAF5a",6.30224701548765,3.21930534027521,0.125926042563478,0.999970962853531
"Sphingobium xenophagum",5.96705197356898,3.07932646679533,0.126239966270454,0.999970962853531
"Brevundimonas sp. NIBR10",4.92108536066781,2.49780853643328,0.126558260937667,0.999970962853531
"Fontisphaera persica",4.55664505726766,2.39735570813224,0.126967120395868,0.999970962853531
"Neisseria subflava",3.84092167013289,2.07726694553245,0.127574381617653,0.999970962853531
"Rothia kristinae",5.2919440772942,2.75093796647503,0.129093432617001,0.999970962853531
"Actinomarinicola tropica",3.27468574181011,1.75168729324682,0.130226835021196,0.999970962853531
"Gordonia terrae",5.60525230999189,2.94826332843554,0.130277512354279,0.999970962853531
"Mycobacterium sp. Z3061",4.73848086480382,2.43595879822687,0.130352993362717,0.999970962853531
"Kibdelosporangium phytohabitans",4.00720323914273,2.15122354447726,0.130941079006183,0.999970962853531
"Arthrobacter sp. ERGS1:01",5.35997924667453,2.8305731976693,0.131491280183342,0.999970962853531
"Acididesulfobacillus acetoxydans",3.93138737237105,2.14838138315205,0.133365437632259,0.999970962853531
"Methylocystis sp. MJC1",7.3128387067858,3.85129573255579,0.133376231559537,0.999970962853531
"Serinicoccus chungangensis",5.36376550330203,2.83647333546462,0.133479203727453,0.999970962853531
"Saccharomonospora azurea",5.97329701766756,3.09905801642939,0.134416339225307,0.999970962853531
"Ornithinimicrobium pratense",5.05936135369557,2.66763279341996,0.134463194428675,0.999970962853531
"[Enterobacter] lignolyticus",2.84911120714459,1.5446142094704,0.135321103364523,0.999970962853531
"Staphylospora marina",3.97539548834716,2.17665454302932,0.136053366229331,0.999970962853531
"Burkholderia cepacia",5.29022961106612,2.8700660688433,0.138361442179465,0.999970962853531
"Syntrophotalea acetylenica",2.70758391480263,1.46786789601036,0.139907137089152,0.999970962853531
"Kitasatospora sp. CM 4170",5.20667357128579,2.82733725611766,0.139982689949635,0.999970962853531
"Brachybacterium saurashtrense",5.53537677771823,3.01277308566674,0.140317460144122,0.999970962853531
"Deinococcus radiopugnans",4.15388458590274,2.33323465445078,0.140968105517877,0.999970962853531
"Streptantibioticus cattleyicolor",5.3723307912452,2.93003491626742,0.141458926164282,0.999970962853531
"Acidihalobacter aeolianus",4.95693489277004,2.68307058664736,0.14152460164881,0.999970962853531
"Corynebacterium nuruki",5.20603769671441,2.83314601692909,0.141757155884759,0.999970962853531
"Mycolicibacterium phocaicum",5.23995993111194,2.86480103336854,0.143299313919069,0.999970962853531
"Nitrogeniibacter mangrovi",3.10020682822161,1.70801636681113,0.143521025319694,0.999970962853531
"Rufibacter tibetensis",6.09643368603387,3.34121777169618,0.144790468643498,0.999970962853531
"Akkermansia glycaniphila",1.71554752495388,0.825281027285703,0.144814263620525,0.999970962853531
"Baekduia soli",3.80127979591283,2.13759092977209,0.145054180858805,0.999970962853531
"Geomonas paludis",4.14296181365974,2.28876631996316,0.145328669762687,0.999970962853531
"Streptomyces sp. LX-29",5.6870499738195,3.10530780555071,0.14555141892805,0.999970962853531
"Schleiferilactobacillus harbinensis",3.28370022359606,1.87965968538121,0.145811509851682,0.999970962853531
"Clavibacter michiganensis",6.99026443726194,3.87750770570712,0.14664242660381,0.999970962853531
"Luteolibacter sp. SL250",3.14856711940642,1.81120436078391,0.147139333281451,0.999970962853531
"Ancylobacter sp. WKF20",3.54876006660986,2.00987292919863,0.149196150603204,0.999970962853531
"Kutzneria sp. CA-103260",4.90687727152709,2.76663095775428,0.151654019324154,0.999970962853531
"Fulvivirga ligni",5.178280210912,2.89535205583575,0.153186010822333,0.999970962853531
"Roseomonas sp. OT10",6.39028691555569,3.60534767757323,0.153452486020791,0.999970962853531
"Streptomyces cynarae",3.72565003876224,2.13101905903841,0.15406612243372,0.999970962853531
"Epidermidibacterium keratini",3.92183417702343,2.25300982512386,0.154590708633427,0.999970962853531
"Treponema primitia",3.27400714756361,1.92112810604324,0.155973230790107,0.999970962853531
"Thermobifida alba",5.81536650102017,3.23600808670197,0.156562574609571,0.999970962853531
"Nakamurella sp. PAMC28650",6.19007611076225,3.51338480741644,0.157440289456621,0.999970962853531
"Actinomyces sp. 432",3.13452561601769,1.84902127980996,0.159920220533829,0.999970962853531
"Streptomyces sp. RTd22",4.25233917071438,2.47968513078316,0.160553346238415,0.999970962853531
"Crenobacter cavernae",2.68787799883653,1.58899662467808,0.160684560370222,0.999970962853531
"Aromatoleum aromaticum",3.882237873279,2.27141451240316,0.160717670116874,0.999970962853531
"Microlunatus elymi",2.98373898652548,1.7596739570555,0.160801279250167,0.999970962853531
"Synechococcus sp. RSCCF101",4.00316874102512,2.33291154047765,0.160985985636987,0.999970962853531
"Faecalibacterium sp. I4-1-79",2.86971981235081,1.61841763602594,0.162168229002994,0.999970962853531
"Paenibacillus rhizovicinus",3.87081845203175,2.28754413341156,0.162786219213751,0.999970962853531
"Singulisphaera acidiphila",3.0447047648802,1.79677745563646,0.162820525626223,0.999970962853531
"Nocardioides sp. cx-173",3.1868106063168,1.83825540664752,0.163073734427344,0.999970962853531
"Achromobacter sp. AONIH1",3.94362092069123,2.31543578088285,0.163348070945704,0.999970962853531
"Rhodoplanes sp. Z2-YC6860",2.90512708739377,1.75924301097868,0.165823298156964,0.999970962853531
"Bradyrhizobium roseus",5.28338080991001,3.08541682444467,0.167393125381365,0.999970962853531
"Klebsiella quasipneumoniae",4.61805764172194,2.76578763866684,0.168200327592124,0.999970962853531
"Haloplanus rubicundus",3.00864855384025,1.8610694830263,0.168306680052516,0.999970962853531
"Paenibacillus sp. MMS20-IR301",2.91545953306836,1.79609478115241,0.168414383524915,0.999970962853531
"Thalassovita gelatinovora",6.0114834716314,3.54253324924065,0.168500317466101,0.999970962853531
"Streptomyces niveus",4.21644841057936,2.53584385013264,0.169026804672905,0.999970962853531
"Thauera humireducens",4.97191034679288,2.95147015357845,0.169035207952796,0.999970962853531
"Sinorhizobium fredii",3.39061788279051,2.0873755948352,0.169138662474559,0.999970962853531
"Streptomyces cinnabarinus",5.02468476970342,2.96545509940849,0.169432548018788,0.999970962853531
"Rhodococcus opacus",4.5739403252562,2.76346715284427,0.169579969525155,0.999970962853531
"Streptomyces finlayi",3.11347965310585,1.88802768113117,0.170080609381147,0.999970962853531
"Dermatobacter hominis",3.16426278523423,1.92416291661721,0.17064509523701,0.999970962853531
"Rhodobacter capsulatus",3.34413440265764,2.00901461249218,0.171196188175612,0.999970962853531
"Micavibrio aeruginosavorus",3.04961067178857,1.84894812105326,0.171272698849336,0.999970962853531
"Asticcacaulis sp. AND118",5.66967241841042,3.35558667166399,0.171414089943245,0.999970962853531
"Pantoea deleyi",4.64210864154855,2.74034021498788,0.171607597243566,0.999970962853531
"Myxococcus xanthus",3.28397061604044,2.0351799808688,0.171704859906182,0.999970962853531
"Actinomadura sp. WMMB 499",3.63601014091329,2.20107954762745,0.172180013100673,0.999970962853531
"Brevibacillus choshinensis",2.90427290696081,1.75068120200388,0.174135947777363,0.999970962853531
"Mycolicibacterium smegmatis",3.03696910244067,1.87425822399124,0.174569644439827,0.999970962853531
"Vescimonas coprocola",2.1723626559621,1.24371874780144,0.175537225995318,0.999970962853531
"Hymenobacter sediminicola",4.30581462168547,2.6021690127187,0.176787779110356,0.999970962853531
"Bifidobacterium actinocoloniiforme",2.87591140310051,1.79773770655018,0.176986348034863,0.999970962853531
"Euzebya pacifica",3.50382214950332,2.21419274629463,0.177600275296446,0.999970962853531
"Leptospira santarosai",4.33585079934825,2.6995066714381,0.177723074890338,0.999970962853531
"Bifidobacterium thermophilum",1.67836668724419,0.912005588499232,0.177899782925162,0.999970962853531
"Mycobacterium sp. ITM-2016-00318",5.52148864628549,3.34395069789985,0.178357190720608,0.999970962853531
"Arthrobacter sp. NEB 688",3.95114857319811,2.39333276707457,0.178540964346064,0.999970962853531
"Streptomyces halobius",3.37352596689973,2.159824767247,0.179268471557595,0.999970962853531
"Paracoccus versutus",4.3825843278865,2.67987594248826,0.179508155543623,0.999970962853531
"Planctopirus limnophila",4.61627266630546,2.80642474347459,0.180883558097801,0.999970962853531
"Mycobacterium gordonae",4.11485354322975,2.54894073199845,0.180929371325799,0.999970962853531
"Streptomyces sp. C8S0",4.8361493058854,2.93095044729397,0.181071738319062,0.999970962853531
"Peterkaempfera bronchialis",6.37976097330139,3.92135761384535,0.181817914740325,0.999970962853531
"Sphingomonas sediminicola",4.01202023992611,2.4483360953248,0.182520989148686,0.999970962853531
"Enterobacter cancerogenus",5.20342110233306,3.17543898656024,0.182707397023635,0.999970962853531
"Egibacter rhizosphaerae",3.47800608207531,2.14412274804006,0.183397608071754,0.999970962853531
"Bosea sp. REN20",4.21107552512989,2.6219475695637,0.183758627485641,0.999970962853531
"Kineococcus radiotolerans",4.09314726661889,2.51009872338012,0.184100430183379,0.999970962853531
"Phytohabitans flavus",3.89461559800957,2.4463905272684,0.18500688096657,0.999970962853531
"Niveibacterium microcysteis",3.56141761625922,2.21460340499742,0.185217220673173,0.999970962853531
"Baekduia alba",3.38767457578658,2.16771023495324,0.185220836774809,0.999970962853531
"Nocardia wallacei",4.72963900830266,2.9365661286924,0.185356765981524,0.999970962853531
"Granulicella mallensis",4.58513268020611,2.86051241535831,0.185848356770813,0.999970962853531
"Streptomyces aurantiacus",4.10937055394481,2.56570348417426,0.185867684695677,0.999970962853531
"Pseudolysobacter antarcticus",2.62219496809569,1.63716564196621,0.187158948615052,0.999970962853531
"Salipiger abyssi",2.91140330424299,1.85058035844086,0.187441906680005,0.999970962853531
"Streptomyces durmitorensis",3.6363025449935,2.28127294876414,0.187903649769912,0.999970962853531
"Salinirubellus salinus",4.60150348712655,2.86384069397682,0.188333857869889,0.999970962853531
"Faecalibacterium duncaniae",1.72249173056834,0.988489842071522,0.188358638374052,0.999970962853531
"Pseudonocardia petroleophila",5.46262823078118,3.41650725923608,0.189674356686318,0.999970962853531
"Syntrophobacter fumaroxidans",3.15080535824926,2.03471465270607,0.189922988053084,0.999970962853531
"Nibricoccus aquaticus",2.66305653065383,1.70572451131129,0.190789921310275,0.999970962853531
"Rhodanobacter thiooxydans",4.78836015752284,3.03617979072454,0.190838507082756,0.999970962853531
"Luteimonas granuli",4.76193654555919,2.94588091578549,0.191047319625934,0.999970962853531
"uncultured Propionivibrio sp.",2.6405882208018,1.72368108293428,0.191657120190612,0.999970962853531
"Conexibacter sp. S30A1",2.81841260102459,1.79152844131373,0.191821120019922,0.999970962853531
"uncultured Desulfosarcina sp.",3.11573837704242,2.07229911409048,0.19218127471542,0.999970962853531
"Thermomonas sp. HDW16",3.00553277123528,1.87937215914609,0.193084087735885,0.999970962853531
"Streptomyces sp. TLI_053",2.67933089344669,1.76511179202604,0.193703793953977,0.999970962853531
